,name,description
591,WhiteBIT Futures,"WhiteBIT is one of Europe's largest centralized crypto exchanges. Today it has over 4 million users worldwide and offers over 350+ trading pairs, 270+ digital assets, and 11 national currencies. Its highest average daily trading volume exceeds $2.5 billion.

The exchange offers a USDT-M futures contract and trading pairs BTC-PERP, ETH-PERP, SOL-PERP, ADA-PERP, XRP-PERP, etc. This list is regularly updated with new ones.

WhiteBIT has some of the lowest fees on the market. The platform is optimized for numerous transactions and has a sufficient liquidity pool to work with large traders. WhiteBIT allows you to use leverage up to 20x."
592,Royal Exchange,"Royal Exchange is a vibrant and robust Exchange for all cryptocurrencies and their users, with over 40 listings and climbing. As a lightening fast, reliable and smooth exchange, we offer and unrivalled trading experience for multiple tokens. Royal Exchange has cross-chain capability and support for hundreds of coins/tokens and will continue to develop exciting and innovative trading events."
593,Utorg,"Utorg is a cryptocurrency exchange, where you can easily buy, sell and trade Bitcoins, Ethereum and other cryptocurrencies directly with fiat currencies such as RUB, UAH, USD. Utorg offers large selection of fiat gateways, including Advcash, Qiwi, Payeer, Perfect Money, Visa/Mastercard, Wire transfer. Fiat deposit fees start from 0,5%. Trading on Utorg is available for free since maker fee is 0%, and taker fee is as low as 0.2%.

Utorg also acts as a service-provider for many businesses, which connect to Utorg and use the proprietary software developed in-house to automate processing of crypto and fiat, mostly exchangers and e-commerce services."
594,Ostable,"Ostable is a decentralized protocol for minting, redeeming, and creating stablecoins pegged to various assets. All trading happens on a two-dimensional bonding curve and is facilitated by Autonomous Agents running on Obyte network. The protocol allows to issue stablecoins that have interest baked-in by targeting a benchmark price plus interest -- stable+ coins."
595,Market Exchange,Market Exchange company with the aim of developing fintech and cryptocurrency. ME has created an exchange for the freedom of crypto and its movements.
596,Carbonswap,"CarbonSwap is a family of interconnected green, sustainability-focused DeFi & NFT products, including initially an automated market-making (AMM) decentralized exchange (DEX) and a bi-directional ERC-to-ERC bridge (Omnibridge) between the Ethereum Mainnet and Energy Web Chain. ‌
CarbonSwap is meant to be a long-term creator vision- and community-driven effort with a weighted token-based governance model and a lot of fun."
597,PrimeBit,"Fair Way to Trade Crypto. A game-changing P2P exchange using an unmatched Fair Pricing model. Trade Bitcoin, Ethereum and Litecoin with up to 200x leverage."
598,MintMe,
599,MinecraftCoin,
600,Cryptex24,Cryptex24 is a centralized cryptocurrency exchange registered in Seychelles launched in Mar 2019. It is supports major cryptocurrencies and gaming tokens built on the HIVE blockchain. Its trading platform is web-based with charts by TradingView.
601,Labrotix,"By closely following the new developments in Labrotix exchange. By making strong improvements on the platform, it is closely following new technologies. Bitcoin supports all coins built on the pivx, Dash platform. We aim to provide an inexpensive environment for large and small investors with low commission rates."
602,UNITEDPRO,"At United Pro, we are more than just a crypto exchange. We are your gateway to a world of endless possibilities in the digital asset space. Here's why you should choose United Pro for all your crypto trading needs:

Are you ready to step into the world of cryptocurrency trading and take control of your financial future? Look no further than United Pro - the all-in-one platform for buying, selling, storing, and trading cryptocurrencies! Join our rapidly growing community of traders and investors, and experience a whole new level of simplicity, security, and profitability in the crypto market."
603,BitKonan,"BitKonan is a Croatian cryptocurrency exchange which has been running since 2014. The cryptocurrencies available at BitKonan are Bitcoin and Litecoin and they are traded against USD. One of the major benefits of using BitKonan is that this exchange supports USD. Deposits in Croatian Kuna (HRK) are automatically converted to USD. This basically means easy access to cryptocurrencies, which is usually appreciated by newcomers in the crypto-world."
604,Chaince,0
605,Satang Pro (TDAX),
606,HTX,"HTX is a Singapore-based cryptocurrency exchange. Established in China in 2013.

HTX Group has been financed by ZhenFund and Sequoia Capital. Its accumulative turnover has exceeded 1.2 trillion USD. It has established compliance service teams in Singapore, Japan, South Korea, United Kingdom, Australia, Canada, Brazil and Hong Kong to deliver its secure and credible digital asset trading and asset management services to millions of users in over 130 countries.

<br> <br>

Exchange assets (transparency): <br>
$3 236 570 293 - according to nansen.ai, <br>
$3 109 865 488 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
607,Switcheo Network,"Switcheo is a Singapore-based cryptocurrency exchange with a focus on NEO token. Switcheo is a non-custodian exchange, facilitating peer-to-peer transfers of digital assets. It is hybrid exchange combining some features of decentralized and centralized exchanges. Switcheo does not offer trading in crypto for fiat and vice versa."
608,Kyberswap (Avalanche),
609,CryptoBridge,"CryptoBridge is a decentralized exchange created for all altcoin traders. All deposits, withdrawals, and order books that are a part of the CryptoBridge system are stored with transparency on the blockchain, where it is highly secure."
610,Globitex,"Globitex is a UK-based crypto-fiat exchange. The group company of Globitex - NexPay UAB received EMI (Electronic Money Institution) license from an EU regulator. Globitex team has created a professional Bitcoin marketplace to fill the need for institutional grade exchange platform with advanced IT solutions, suitable for both individual and institutional Bitcoin market participants. "
611,TOKPIE,TOKPIE is the first cryptocurrency exchange with Bounty Stakes Trading service.
612,Indodax,"Indodax (Bitcoin Indonesia) is an Indonesian cryptocurrency exchange that launched in 2013. It offers its services worldwide, but accepts deposits in Indonesian Rupiah only.  As most other cryptocurrency exchanges, Indodax is not regulated. "
